seed,winner,turns,commands,damage,final_hash
1144,Blue,26,25,345,094543f8ecb53dc4a99f2adf067bd1d6efbbb63f69edf36cdbde141603132c62
1145,Red,27,26,366,5b493f2327bd6523bc11d4b20301d13528403e9afbfbad3716d538e0565a588d
1146,Red,37,36,389,ba37212d8b0ac0d694047fba1fb85cf4871d913db4ef37019bab14dd5e251af5
1147,Red,23,22,345,8e20adfd13b7b1480801dc9aa9cfd5b6d02feea97cb26de751a553c71364e4c7
1148,Blue,28,27,370,406116c8fd99883cffc89e069c399331c477dfe702d7a75a0c6ae70a3ac0bf39
1149,Blue,32,31,346,11f3e8b68305882eb75038f7c067f00eb7d55ce06b43520535c8bba564f4187a
1150,Blue,28,27,371,424e87b575fc4e93e4ad1b4e163bd39f5418b813bb0247156e1567ec4fc761b2
1151,Blue,28,27,386,629c52d2b564b71f3dafd741748b1d00bc08d99ddb57f306784ee2f8181b8f66
1152,Red,27,26,386,e621ded91291360eb247e4ecaed3dfc2674738743b44eca24fd666a2ca96e89b
1153,Red,23,22,342,fc9749790550f171bb6c7c582463405aa763dcbe6181b1d5a2dcd010a09cf44f
1154,Blue,30,29,334,30d49979069db99c557060c3974da3b0f7c25224dc9a30b1f89f3c243cd3c933
1155,Blue,24,23,393,79e8c2279253a01bf7258be4a619561d49140222abca628ba7f9e6a7f26743dd
1156,Blue,30,29,370,2aa08891560f84cb8a64393005621042675e99f89fc7e4d2687fc3a4d54a041e
1157,Red,31,30,379,25345ca7efefb77bde02f00b8e97e7f8c9a12345cc990426da647143f78d82ca
1158,Blue,30,29,349,d74a4fa46f66f13d947baec72ded10251469cc7c601ae0f02b0fc511350186e7
1159,Blue,24,23,321,f6310e01e826ebe19d28391b888b1d847848a6ff56711ef31244860ef40c7739
1160,Draw,201,200,0,9d1c4c40db44656049042fd17326375e7f07bd2cb9252c5a0199c884ea4da5fb
1161,Red,27,26,364,d95614bd3888f2882d748d5681b943ed04c425d378c2466ba32a63d6f1135e5d
1162,Blue,28,27,386,eff3da61b681aaf923d85cf368f499fd259dea201fc1d2152c1ba3a006bc7394
1163,Blue,48,47,396,f9595f6b073e1150c34772aff2966d1344e558ffb3227c769e51b7a71bc91b7c
1164,Blue,30,29,296,f1d8f5b8eaac574121ed77c396857f4cdb3ee5450c0e087ab85c19ef42ade598
1165,Red,27,26,356,7011b37c55bcb95ee5cde0ef548c6bd514eaea4726e32cdb7e580ea4e5b0e3fe
1166,Blue,30,29,383,2bf303fe170c619b40436123078255a6ca4d118694470f049d4a9a5c90c96c8e
1167,Red,27,26,334,72ffba3631c443001e09d5af70a8f5890be4e352a56b3164a6814a00222e087b
1168,Red,29,28,346,3ebebbff2232843d4153bc7649661075b9d34ad8e8e4e770176f6b417de647a4
1169,Red,23,22,293,16aa71e61185b853ce1c4ceec6fcf20d0b2072d48b9c900413ea7ad80e972cb7
1170,Red,23,22,371,0b6ceb5365ab8aef8e5b93b773aa62150183bd08679f0c8add9697b4ebe5208f
1171,Red,23,22,353,4658736e79509311891c5cfa1ffd411b3010138ebd133346906611ffe76f9dbf
1172,Blue,26,25,334,229406dedab28a65262216f439b6445819e9e472f78c823572297fcd5680d2a3
1173,Blue,26,25,386,b27bb7bb9393ee0317bd2c22ed78cae21d1a632fb9bad97a51b848770b51b4ef
1174,Blue,22,21,300,6476610354fb86503d4ff42b72a9a7983fe25eae44adad2ec87b31d457018282
1175,Red,27,26,300,1bbefb99cd7eb0c5feb47aab8aee62425d0fa3c0ebc930c7c34b8086cd03d7e4
1176,Red,23,22,369,50d8558783416369a7ec823f29a14e5edbbe9d0ee32a43c98345b7f980ec661e
1177,Red,27,26,364,b620ffab814b58262925acc530659369024602f1f701c9d97d4d47958e13defb
1178,Draw,201,200,158,92415427e17675758cbab0f09b1223e118f463360deea2343f2407f429e88d99
1179,Red,33,32,378,aff6592d5d1130f2cdd33aca1e078dc504f8e134bf02475a254d46f3ebc881e7
1180,Blue,26,25,374,793685a946fd8db82c22f8154d00f66e0180fd9b634ae68352bca8ddf7fdcd43
1181,Red,33,32,392,1368ccb7aa33dd31645ba389791837141a16b12ebc8dba24e82a2359e21b4490
1182,Red,27,26,386,dd70861235c6529841ac7e7c7a8dde3b7f39c3551b5af10a9cda581f698c9b25
1183,Blue,42,41,352,4d5bbd6f3996f116efdf4d51e19a30e430e8afbfe705bf074f724469a3502a41
1184,Blue,24,23,354,ef54197d57edc5bd9ab99570a5511842934796e896301fc99dadf8c22fdf5933
1185,Blue,28,27,386,427c6366e95468d46c8f84151c7b82f8138cf834847283c987eeebb460930d73
1186,Red,27,26,386,8940bf7c31482ebecd8db5b58603d5f5b50e939ee22fb7410c0f43ededbbf3e4
1187,Red,25,24,362,f72ccdf70c932fb3d7a186b3ff33d3def31801775652d1a26e8d28ce5cddea80
1188,Blue,18,17,296,f35527ee324981e9f7f79a4d0f3b6bf5dbf86858750819babfd26c364b0a5adb
1189,Red,29,28,351,11f6de6fb53052df0b3eebb3eb8fd8a4c8fbd950f8b370e340f4194d2907828a
1190,Red,29,28,351,1715efac188ae26c96ad88b3152c6e29a7527663759d49c6b4f2376b70b296a6
1191,Red,27,26,332,965c8e28bd135e5cc62a0fe2934a57011fbd78085877d75587fac6ae15f37a76
1192,Blue,32,31,341,80c8b0d3fe8b7f5dd92125d0c8b9373728261d45b13177f21d78d30dfe9a0b88
1193,Red,45,44,334,bafb377195ef9b22c36fb7600a2163f664652c5b1b42a759b968a7b4be4fe98f
1194,Red,29,28,386,4242d7cc3445a69a4550f597c498099867ac7f5770845f9878162ae2f87249cb
1195,Red,25,24,377,044c626ea6ea8fc2ebef30ca53125abd5de0f01ff715a70c04c5c61338811596
1196,Red,27,26,378,b436be0d50e2e63fa3027a9f06ca4b0d6db7d2e2152b434d8acecf328cd489b6
1197,Blue,32,31,366,6bfae21fe3019890c1cc9a5a1a33d8b88ad949cf203cb38fa54968baf0a18c7d
1198,Blue,28,27,392,a51efd0f09eb8a3562a9f657ba20adce8fd16e477ac22798ded0e247377851a9
1199,Red,29,28,373,58a6d14227037cccd42855dfab75268d8f2897767e0fb0cd9b6a5c1b190003ea
1200,Blue,30,29,392,f99683fe1d9c57399494a78266a3ac8fe5b1c0f9d79084a3c0e8d3ad02363ae9
1201,Blue,28,27,385,30d769820eb2671ee4d87918d5c89c43e5f472407ba18bd3135cbbc2f1dd48b2
1202,Blue,22,21,321,b9d2cab83d18d822a13f401c2d19295080abb67662a8b8e3ecb6c8fb02d058d4
1203,Red,25,24,331,5c2c94834d8ce18c203c96f18ab5681493ac55e2243e764a5a85f7f25a5c036e
1204,Red,29,28,300,53a101161be5dbf89bbca252c7f95f77159c27b1c3ec3e3a83bc02c59c446347
1205,Red,21,20,296,d0326b52e86ea46113d2496196c4fe66677b898a0dba3d8fb77c648f23ee5ae5
1206,Blue,24,23,343,dd187ea8272bc74ceeedbfd98397c142aded30910860190a65d6083a16c860bd
1207,Blue,24,23,300,d9f9e2c111907e612a4fa14c1377fdd35f4fab15c2228192ac32332e5a961b6e
1208,Blue,24,23,300,fd40b45e2f913c1930dbcbcf2038740857fadf0e920e0e17c2e1cd3d7058bc9d
1209,Blue,22,21,386,e853a01e956c83bfd8a780b216b2491e65fa275c20aff93cd979550fbea3c6e0
1210,Blue,40,39,381,2f44c530a74daf97d464b0fa4f31e7a37b4ab006414852335f3777ed139b6b17
1211,Red,21,20,362,175121f54250f5cd541256cca247cdda53e321d05a6b8d4b371daac49e30bbc1
1212,Blue,24,23,334,71384956c844f2659c4f4e55841a610be742c68bba992d1f7831e81e37284696
1213,Blue,32,31,378,ff539bbab36628c324c7367fad3cf06e0056c409d11cbd9d9d2f1732790e6589
1214,Red,51,50,391,463ca6e05c7609573db60384838fdef1a5b7ab41c9f9533614e6bf9a71c9e836
1215,Blue,20,19,300,af195e391626fa7b3a04252849219173156cac8cba7ffe4d7b83057e9276c652
1216,Blue,22,21,381,9ee9d546295b6da3823ab299ff509d6de9ce13d72dd25c633b29c2fbdce102dd
1217,Blue,26,25,369,e400164803b56736291ca45329134f29dbb4f2e8eda05afcfdce35bb60e64c79
1218,Blue,30,29,321,043a1120f703ccdba62f286653d5f2afd22d084e7a2b47b59e5053bfd4e4884f
1219,Blue,22,21,292,7b29c576383a67b7360bdb67d3cb1d9ad306de7ae2336081619598479c046848
1220,Red,29,28,372,d16ec617a0facad3b5ceefa12af959d16db1592d16af842df52359efd4665c85
1221,Blue,30,29,381,485df28ca7c227dde51921f1749087a08be51b82730027a5bf833c976e69f698
1222,Red,25,24,300,5cdc65bc2c265c0000f67c7a5c18a17c04fd9a427ece6a46c8f7b5b9e9a37af8
1223,Red,23,22,363,eadc585d7b373996c9fc6755ab982d590d22d2f09720a48448ed98b286ccb9c7
1224,Blue,28,27,389,3ca31ae471c1c4b1cd70b3dc610378189a1327d0c0515f0c72845383b3ea212d
1225,Red,29,28,367,0a26256347855c7229c77499186c97e94e5f8fa0df880d39abb51dd316a6640c
1226,Red,23,22,324,5dcfdf2c1c1ebe09b812d1d753285b200cb86db5677b0666d368919470cba5c2
1227,Draw,201,200,0,f3be9ca3eeea52d0fb822eb46f2307c93ed88d0953e9a8e0cb065653c6dae06b
1228,Blue,24,23,318,8b3f3cb3ff01e33563e1724d9b09eb90bc0fa5a06b008fe456994a745df89775
1229,Blue,24,23,367,4c0b91767204cef450a19d6755c9325956083ab2621ad49852bc1880ffe9dd61
1230,Blue,24,23,377,2c7c9c7fbef6c0749b6d5f6ad04f0fe6246049caf17af39fcd56a958406d0ce0
1231,Red,23,22,317,fac35d3b3a9ed8e9022e7f52e0daa9e0751bb04228071e9225c7511e54400749
1232,Red,29,28,385,bd3f4f2183f499219debcbf17d789c4626882e0d1cd9f4fc0b85d97eb68f29c4
1233,Blue,28,27,399,7d42663c3c3597b83c981cdf72e63ed2c18523d6cada0cded3ea431178cd4156
1234,Blue,26,25,378,221a33768c7c5c5463cfdff19138995ed7d9bddab3f7356a8c8e8e877e415e8a
1235,Red,25,24,387,09441e2f232fa3521bb85c6f2c998d0a82057b5a65d68e8591b3fad0d9b1a0aa
1236,Blue,28,27,382,838916c42d0ebc2cc13c93c24fdd4e59a1aae53ce82f76fb0327ff4298a1544b
1237,Blue,28,27,374,a09464c584bee5f71c432f973e6af2af66e18a69418720f7008ee16b265a470c
1238,Red,23,22,385,d5b5b37cf6f4fc605ddebbe72c1393adfc14532003b2285c05372d871c007532
1239,Blue,28,27,329,553c7057f5b7383435c102642c826385feccabc2ea3ee106d9a1af94f99fec31
1240,Blue,28,27,395,e6ef2b829e05956a90195f03f61af4f7ca0b4a18e99d582af722d5ae68ebd23f
1241,Red,19,18,323,db78d51026091cc11671430f7bdf2bffc3efac5c7bdcd81f2bacdfb610cdca37
1242,Blue,22,21,328,783c9f911163f9e5b5e96e4af9382ff1abc16d11c9e9a6a72939dd5a33b39a5e
1243,Blue,24,23,270,90935cd02a5106be135a61e046b3ecb0c2244b623e3729907998d00f014408b5
1244,Red,19,18,289,fd27c0251e76d678f92d707b256fd649c13246150911a65e0cfdb81c25686194
1245,Red,25,24,363,33159fe6a4fc10d5ba42d1c1301c09c8a84ee4a69219125e67b24c416a980160
1246,Red,29,28,360,e1dfe97dad6ecbf38ff1d6c466af57635bc41b6ce659f470727711859bf907ee
1247,Blue,28,27,356,9b9e94fe80a36b9a4e1c30259f606e43f693b810c64bff797566f068c77316e5
1248,Blue,24,23,353,a387bc7fabaa6d7fc5e024cd674018ffa6199806af7de7195a1c1a8d914bbfb6
1249,Red,29,28,372,a8099019e40dbcc69b6637085081681a86c464fd1d1a3dc4ad655f03865b24b7
1250,Blue,28,27,362,5a9160bf783da87ce34adf9c45f966d8c6ec577f65f5bfa724bcc212eb4e3915
1251,Red,23,22,386,db0bc30aa79f1e165a8d8dc6a034694cbe0abf149d6c122dd5dc7b83341f9896
